HI_wl,prob,index,value,lon,lat
2,0.9,HWF,16.9824561403509,123.75,53.25
2,0.95,HWF,16.3333333333333,123.75,53.25
2,0.99,HWF,9.16666666666667,123.75,53.25
2,0.999,HWF,4.18035512095313,123.75,53.25
2,0.9999,HWF,3.66007986297012,123.75,53.25
3.5,0.9,HWF,11.7017543859649,123.75,53.25
3.5,0.95,HWF,13.7443609022556,123.75,53.25
3.5,0.99,HWF,12.1528822055138,123.75,53.25
3.5,0.999,HWF,7.56865848832608,123.75,53.25
3.5,0.9999,HWF,6.87673130193906,123.75,53.25
0.85,0.9,HWD,56.1027568922306,124.75,53.25
0.85,0.95,HWD,31.7017543859649,124.75,53.25
0.85,0.99,HWD,9.16944334520512,124.75,53.25
0.85,0.999,HWD,3.59734723186939,124.75,53.25
0.85,0.9999,HWD,3.19967771306781,124.75,53.25
1.5,0.9,HWD,73.3208020050125,124.75,53.25
1.5,0.95,HWD,44.1353383458647,124.75,53.25
1.5,0.99,HWD,14.5505012531328,124.75,53.25
1.5,0.999,HWD,5.41152145068554,124.75,53.25
1.5,0.9999,HWD,4.60380814055859,124.75,53.25
2,0.9,HWD,87.9824561403509,124.75,53.25
2,0.95,HWD,55.0050125313283,124.75,53.25
2,0.99,HWD,19.4928571428571,124.75,53.25
2,0.999,HWD,7.13048080728136,124.75,53.25
2,0.9999,HWD,6.0300925171546,124.75,53.25
3.5,0.9,HWD,133.651629072682,124.75,53.25
3.5,0.95,HWD,93.3258145363408,124.75,53.25
3.5,0.99,HWD,40.9974937343358,124.75,53.25
3.5,0.999,HWD,17.7037593984962,124.75,53.25
3.5,0.9999,HWD,14.9790726817043,124.75,53.25
0.85,0.9,HWI,8.4292622989975,124.75,53.25
0.85,0.95,HWI,6.64200899649123,124.75,53.25
0.85,0.99,HWI,3.80976514984964,124.75,53.25
0.85,0.999,HWI,2.38848785668488,124.75,53.25
0.85,0.9999,HWI,2.22035425626234,124.75,53.25
1.5,0.9,HWI,9.20913954887218,124.75,53.25
1.5,0.95,HWI,7.50468378145364,124.75,53.25
1.5,0.99,HWI,4.68951121486967,124.75,53.25
1.5,0.999,HWI,2.96117285693417,124.75,53.25
1.5,0.9999,HWI,2.71617311671437,124.75,53.25
2,0.9,HWI,9.83003943333333,124.75,53.25
2,0.95,HWI,8.16358211729323,124.75,53.25
2,0.99,HWI,5.37667428157895,124.75,53.25
2,0.999,HWI,3.44318033266132,124.75,53.25
2,0.9999,HWI,3.17072785285688,124.75,53.25
3.5,0.9,HWI,11.5585768466165,124.75,53.25
3.5,0.95,HWI,9.91955944210526,124.75,53.25
3.5,0.99,HWI,7.18807631102757,124.75,53.25
3.5,0.999,HWI,5.00249577232456,124.75,53.25
3.5,0.9999,HWI,4.67309443478947,124.75,53.25
0.85,0.9,HWS,134.347008097744,124.75,53.25
0.85,0.95,HWS,66.1334554661654,124.75,53.25
0.85,0.99,HWS,15.9021733556408,124.75,53.25
0.85,0.999,HWS,5.53685500040448,124.75,53.25
0.85,0.9999,HWS,4.74082525948582,124.75,53.25
1.5,0.9,HWS,187.705814233083,124.75,53.25
1.5,0.95,HWS,98.9091708265664,124.75,53.25
1.5,0.99,HWS,26.8146000342682,124.75,53.25
1.5,0.999,HWS,9.00870369645903,124.75,53.25
1.5,0.9999,HWS,7.60335070595955,124.75,53.25
2,0.9,HWS,237.725123872181,124.75,53.25
2,0.95,HWS,129.661701331579,124.75,53.25
2,0.99,HWS,37.6432147895739,124.75,53.25
2,0.999,HWS,12.4767676849573,124.75,53.25
2,0.9999,HWS,10.4500591820656,124.75,53.25
3.5,0.9,HWS,429.842042090226,124.75,53.25
3.5,0.95,HWS,259.01394533584,124.75,53.25
3.5,0.99,HWS,91.7989881934837,124.75,53.25
3.5,0.999,HWS,34.4836144742857,124.75,53.25
3.5,0.9999,HWS,28.8193183032857,124.75,53.25
0.85,0.9,HWF,18.2781954887218,124.75,53.25
0.85,0.95,HWF,13.5639097744361,124.75,53.25
0.85,0.99,HWF,5.31373169766522,124.75,53.25
0.85,0.999,HWF,2.44938640537671,124.75,53.25
0.85,0.9999,HWF,2.19689452704159,124.75,53.25
1.5,0.9,HWF,17.7769423558897,124.75,53.25
1.5,0.95,HWF,15.2355889724311,124.75,53.25
1.5,0.99,HWF,7.34924812030075,124.75,53.25
1.5,0.999,HWF,3.2877098900502,124.75,53.25
